,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
423,Tyler Phillips,663969,20629,MIA,MLB,27.5,0.181,0.069,0.097,0.06,0.238,0.229,0.347,0.041,3.909,0.007,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
424,Edward Cabrera,665795,21690,MIA,MLB,27.0,0.26,0.132,0.082,0.062,0.238,0.22,0.363,0.044,4.118,0.014,1.0396666666666665,0.954,0.9396666666666667,1.0773333333333333,1.076,0.9863333333333334,0.9533333333333333,1.0993333333333333,1.015,0.989,0.9823333333333334,0.9843333333333333,0.9846666666666667,1.0496666666666665,1.144,0.7366666666666666
425,Ryan Weathers,677960,23796,MIA,MLB,25.3,0.19,0.081,0.08,0.064,0.241,0.257,0.322,0.043,3.723,0.009,0.9643333333333333,1.0656666666666665,1.0086666666666666,0.9503333333333334,1.058,0.9046666666666666,1.0376666666666667,0.8976666666666666,1.011,0.998,0.9726666666666667,1.0486666666666666,1.0173333333333332,0.9476666666666667,0.9006666666666666,1.2286666666666668
426,Declan Cronin,686539,25645,MIA,MLB,27.6,0.224,0.084,0.065,0.055,0.248,0.176,0.42,0.042,3.59,0.019,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
427,Jesus Tinoco,622786,16300,MIA,MLB,30.0,0.234,0.087,0.078,0.059,0.242,0.293,0.299,0.042,3.909,0.01,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
428,Valente Bellozo,678368,23899,MIA,MLB,25.3,0.169,0.071,0.096,0.068,0.235,0.346,0.21,0.046,3.909,0.005,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
429,Adam Mazur,800049,31900,MIA,MLB,24.0,0.18,0.099,0.074,0.063,0.251,0.305,0.264,0.038,3.696,0.004,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
430,Dax Fulton,690978,sa3014535,MIA,MLB,23.5,0.23788749999999997,0.094,0.08,0.063,0.243,0.258,0.313,0.043,3.909,0.013,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
431,Framber Valdez,664285,17295,HOU,MLB,31.4,0.244,0.076,0.072,0.057,0.244,0.151,0.445,0.042,3.909,0.014,0.9633333333333333,1.093,0.9883333333333333,1.025,1.074,0.838,1.046,0.848,1.021,0.954,0.9676666666666667,1.0666666666666667,1.0146666666666666,0.9640000000000001,0.8596666666666667,1.435
432,Hunter Brown,686613,25880,HOU,MLB,26.6,0.261,0.083,0.078,0.059,0.242,0.204,0.385,0.042,3.909,0.008,0.9966666666666666,0.9953333333333333,0.8726666666666667,1.1423333333333334,0.9756666666666667,1.0793333333333335,1.0013333333333332,1.0606666666666666,0.971,1.0296666666666665,1.0403333333333333,0.9293333333333333,0.946,1.0919999999999999,1.1073333333333333,0.7443333333333333
433,Spencer Arrighetti,681293,29921,HOU,MLB,25.3,0.267,0.103,0.079,0.07,0.244,0.303,0.26,0.042,3.909,0.015,0.9856666666666666,1.0033333333333334,0.847,1.1583333333333334,0.973,1.08,0.9446666666666667,1.1159999999999999,1.035,0.9656666666666666,1.0123333333333333,0.9583333333333333,0.988,1.048,0.9553333333333333,0.9013333333333333
434,Ronel Blanco,669854,19407,HOU,MLB,31.6,0.242,0.107,0.09,0.057,0.245,0.284,0.284,0.041,3.909,0.003,1.0373333333333332,0.9553333333333334,0.9143333333333333,1.1023333333333334,0.9573333333333334,1.0943333333333334,0.9373333333333332,1.1216666666666666,1.012,0.9886666666666666,1.0276666666666667,0.9436666666666667,0.9903333333333333,1.0456666666666665,0.981,0.876
435,Hayden Wesneski,669713,27581,HOU,MLB,27.4,0.226,0.081,0.09,0.058,0.239,0.25,0.314,0.048,3.909,0.012,1.051,0.9269999999999999,0.9296666666666666,1.0873333333333333,0.9936666666666667,1.0653333333333335,1.0203333333333333,1.039,1.005,0.9903333333333333,1.0106666666666666,0.96,0.9976666666666666,1.0383333333333333,0.94,0.9266666666666666
436,Josh Hader,623352,14212,HOU,MLB,31.0,0.372,0.104,0.081,0.06,0.242,0.331,0.248,0.043,3.909,0.01,0.969,1.0576666666666665,0.9916666666666667,1.004,1.0643333333333334,0.8869999999999999,1.0076666666666667,1.0153333333333334,1.029,0.9296666666666666,0.9653333333333333,1.0736666666666665,1.019,0.9420000000000001,0.8786666666666666,1.3103333333333333
437,Bryan Abreu,650556,16609,HOU,MLB,28.0,0.332,0.106,0.077,0.058,0.247,0.271,0.316,0.039,3.909,0.015,1.0266666666666666,0.965,0.9033333333333333,1.115,1.0846666666666667,0.9636666666666667,1.1026666666666667,0.952,0.957,1.0453333333333332,1.01,0.9606666666666667,0.9896666666666667,1.047,1.0186666666666666,0.835
438,Bryan King,687911,25890,HOU,MLB,28.4,0.244,0.082,0.063,0.054,0.243,0.288,0.306,0.049,3.909,0.027,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
439,Tayler Scott,605463,13652,HOU,MLB,32.9,0.237,0.113,0.069,0.074,0.245,0.262,0.31,0.04,3.909,0.016,1.0716666666666665,0.9043333333333333,0.8633333333333334,1.1726666666666667,1.0183333333333333,1.0336666666666667,1.0416666666666665,1.013,1.0063333333333333,0.989,1.0203333333333333,0.9483333333333333,0.9683333333333334,1.0746666666666667,0.8683333333333333,1.0143333333333333
440,Luis Contreras,664351,25839,HOU,MLB,29.0,0.218,0.101,0.059,0.046,0.238,0.379,0.268,0.046,3.909,0.017,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
441,Steven Okert,595345,13580,HOU,MLB,33.8,0.27,0.089,0.081,0.06,0.241,0.345,0.221,0.048,3.909,0.021,0.9516666666666667,1.069,1.0186666666666666,0.953,1.0976666666666666,0.828,1.072,0.8426666666666667,1.006,1.0,0.9716666666666666,1.0556666666666668,1.0236666666666665,0.9366666666666666,0.8273333333333334,1.36
